Order ID,Symbol,Type,Trade Type,Entry Price,Exit Price,Quantity,PnL,Return %,Max Profit,Min Profit,Avg Profit,Avg Loss,Capital Used,Entry Time,Exit Time,Exit Reason
201,NSE:NIFTY2611325700CE,LONG,REAL,88.70,84.25,2240,-300.00,-5.02%,+0.00,-9968.00,-,-9968.00,198688,2026-01-14 08:04:54,2026-01-14 08:04:54,Hard stop loss hit
202,BSE:SENSEX2611483600CE,LONG,REAL,444.65,429.55,420,-300.00,-3.40%,+0.00,-6342.00,-,-6342.00,186753,2026-01-14 08:04:54,2026-01-14 08:04:54,Hard stop loss hit
203,NSE:BANKNIFTY26JAN59600CE,LONG,PAPER,600.00,587.50,330,-300.00,-2.08%,+0.00,-4125.00,-,-4125.00,198000,2026-01-14 08:04:54,2026-01-14 08:04:54,Hard stop loss hit
204,BSE:SENSEX2611483600CE,LONG,PAPER,429.55,422.25,455,-300.00,-1.70%,+1615.25,-3321.50,+1615.25,-3321.50,195445,2026-01-14 08:04:54,2026-01-14 08:04:55,Breakeven stop hit (protected capital)
205,NSE:BANKNIFTY26JAN59600CE,LONG,PAPER,587.50,585.70,330,-300.00,-0.31%,+0.00,-594.00,-,-594.00,193875,2026-01-14 08:04:54,2026-01-14 08:04:55,Hard stop loss hit
206,NSE:BANKNIFTY26JAN59600CE,LONG,PAPER,585.70,583.05,330,-300.00,-0.45%,+0.00,-874.50,-,-874.50,193281,2026-01-14 08:04:55,2026-01-14 08:04:55,Hard stop loss hit
207,NSE:BANKNIFTY26JAN59600CE,LONG,PAPER,583.05,580.00,330,-300.00,-0.52%,+1204.50,-1006.50,+1105.50,-1006.50,192406,2026-01-14 08:04:55,2026-01-14 08:04:56,Breakeven stop hit (protected capital)
208,NSE:FINNIFTY26JAN27600CE,LONG,PAPER,295.00,290.45,675,-300.00,-1.54%,+0.00,-3071.25,-,-3071.25,199125,2026-01-14 08:04:56,2026-01-14 08:04:56,Hard stop loss hit
209,NSE:BANKNIFTY26JAN59600CE,LONG,PAPER,580.00,643.30,330,+20889.00,+10.91%,+25063.50,+0.00,+14935.25,-,191400,2026-01-14 08:04:56,2026-01-14 08:04:57,Drop in percentage: 2.18% drop from peak profit (13.09% → 10.91%)
210,NSE:FINNIFTY26JAN27600CE,LONG,PAPER,290.45,284.90,675,-3746.25,-1.91%,+9011.25,-3746.25,+6674.06,-3746.25,196053,2026-01-14 08:04:56,2026-01-14 08:04:58,Microstructure: Volume spike with price rejection
211,NSE:NIFTY2611325700CE,LONG,PAPER,120.15,118.50,1660,-300.00,-1.37%,+0.00,-2739.00,-,-2739.00,199449,2026-01-14 08:04:56,2026-01-14 08:04:57,Hard stop loss hit
212,NSE:NIFTY2611325700CE,LONG,PAPER,118.50,110.60,1680,-300.00,-6.67%,+0.00,-13272.00,-,-13272.00,199080,2026-01-14 08:04:57,2026-01-14 08:04:57,Hard stop loss hit
213,NSE:NIFTY2611325700CE,LONG,PAPER,110.60,107.05,1800,-300.00,-3.21%,+0.00,-6390.00,-,-6390.00,199080,2026-01-14 08:04:57,2026-01-14 08:04:57,Hard stop loss hit
214,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,643.30,621.70,300,-300.00,-3.36%,+0.00,-6480.00,-,-6480.00,192990,2026-01-14 08:04:57,2026-01-14 08:04:57,Hard stop loss hit
215,NSE:NIFTY2611325700CE,LONG,REAL,107.05,114.80,1860,+14415.00,+7.24%,+31527.00,+0.00,+19003.00,-,199113,2026-01-14 08:04:57,2026-01-14 08:04:58,Drop in percentage: 8.59% drop from peak profit (15.83% → 7.24%)
216,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,621.70,642.65,300,+6285.00,+3.37%,+9405.00,+0.00,+6130.00,-,186510,2026-01-14 08:04:57,2026-01-14 08:04:58,Drop in percentage: 1.67% drop from peak profit (5.04% → 3.37%)
217,NSE:NIFTY2611325700CE,LONG,REAL,114.80,112.45,1740,-300.00,-2.05%,+0.00,-4089.00,-,-4089.00,199752,2026-01-14 08:04:58,2026-01-14 08:04:58,Hard stop loss hit
218,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,642.65,639.35,300,-300.00,-0.51%,+0.00,-990.00,-,-990.00,192795,2026-01-14 08:04:58,2026-01-14 08:04:58,Hard stop loss hit
219,NSE:NIFTY2611325700CE,LONG,REAL,112.45,105.90,1760,-300.00,-5.82%,+0.00,-11528.00,-,-11528.00,197912,2026-01-14 08:04:58,2026-01-14 08:04:58,Hard stop loss hit
220,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,639.35,626.70,300,-300.00,-1.98%,+0.00,-3795.00,-,-3795.00,191805,2026-01-14 08:04:58,2026-01-14 08:04:58,Hard stop loss hit
221,NSE:NIFTY2611325700CE,LONG,PAPER,105.90,104.15,1880,-300.00,-1.65%,+6862.00,-3290.00,+5781.00,-3290.00,199092,2026-01-14 08:04:58,2026-01-14 08:04:59,Breakeven stop hit (protected capital)
222,BSE:SENSEX2611483600CE,LONG,PAPER,502.65,488.95,385,-300.00,-2.73%,+2637.25,-5274.50,+1578.50,-5274.50,193520,2026-01-14 08:04:58,2026-01-14 08:04:59,Breakeven stop hit (protected capital)
223,NSE:BANKNIFTY26JAN59600CE,LONG,PAPER,626.70,615.40,300,-300.00,-1.80%,+1350.00,-3390.00,+772.50,-3390.00,188010,2026-01-14 08:04:58,2026-01-14 08:04:59,Breakeven stop hit (protected capital)
224,NSE:NIFTY2611325700CE,LONG,PAPER,104.15,107.00,1920,+5472.00,+2.74%,+10368.00,+0.00,+7920.00,-,199968,2026-01-14 08:04:59,2026-01-14 08:04:59,Drop in percentage: 2.45% drop from peak profit (5.18% → 2.74%)
225,BSE:SENSEX2611483600CE,LONG,PAPER,488.95,497.55,385,+3311.00,+1.76%,+7738.50,+0.00,+5524.75,-,188245,2026-01-14 08:04:59,2026-01-14 08:04:59,Drop in percentage: 2.35% drop from peak profit (4.11% → 1.76%)
226,NSE:BANKNIFTY26JAN59600CE,LONG,PAPER,615.40,615.35,300,-15.00,-0.01%,+2955.00,-15.00,+2955.00,-15.00,184620,2026-01-14 08:04:59,2026-01-14 08:05:00,Breakeven stop hit (protected capital)
227,BSE:SENSEX2611483600CE,LONG,REAL,497.55,490.60,385,-300.00,-1.40%,+0.00,-2675.75,-,-2675.75,191556,2026-01-14 08:04:59,2026-01-14 08:05:00,Hard stop loss hit
228,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,615.35,607.75,300,-300.00,-1.24%,+0.00,-2280.00,-,-2280.00,184605,2026-01-14 08:05:00,2026-01-14 08:05:00,Hard stop loss hit
229,NSE:FINNIFTY26JAN27600CE,LONG,REAL,281.00,282.30,700,+910.00,+0.46%,+5600.00,+0.00,+3690.00,-,196700,2026-01-14 08:05:00,2026-01-14 08:05:04,Drop in percentage: 2.38% drop from peak profit (2.85% → 0.46%)
230,NSE:BANKNIFTY26JAN59600PE,LONG,REAL,488.10,484.10,390,-300.00,-0.82%,+117.00,-1560.00,+117.00,-1560.00,190359,2026-01-14 08:05:03,2026-01-14 08:05:03,Hard stop loss hit
231,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,625.05,622.95,300,-300.00,-0.34%,+0.00,-630.00,-,-630.00,187515,2026-01-14 08:05:04,2026-01-14 08:05:04,Hard stop loss hit
232,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,622.95,609.05,300,-300.00,-2.23%,+0.00,-4170.00,-,-2145.00,186885,2026-01-14 08:05:04,2026-01-14 08:05:05,Hard stop loss hit
233,NSE:NIFTY2611325700CE,LONG,REAL,97.95,93.20,2040,-9690.00,-4.85%,+0.00,-9690.00,-,-9690.00,199818,2026-01-14 08:05:04,2026-01-14 08:05:05,Microstructure: Volume spike with price rejection
234,BSE:SENSEX2611483600CE,LONG,REAL,485.85,468.10,385,-6833.75,-3.65%,+0.00,-6833.75,-,-6833.75,187052,2026-01-14 08:05:04,2026-01-14 08:05:05,Microstructure: Volume spike with price rejection
