Time,Open,High,Low,Close,TradeVol,Vol,date,datetime,daily_return_open_close,daily_return,state
1765432725,497.0,497.0,497.0,497.0,0,21580,2025-12-11T11:28:45+05:30,12-11-2025 11:28:45,0.0,0.0,no
1765432730,497.0,497.0,497.0,497.0,0,21580,2025-12-11T11:28:50+05:30,12-11-2025 11:28:50,0.0,0.0,no
1765432735,497.0,497.0,497.0,497.0,0,21580,2025-12-11T11:28:55+05:30,12-11-2025 11:28:55,0.0,0.0,no
1765432740,495.4,495.4,495.4,495.4,20,21580,2025-12-11T11:29:00+05:30,12-11-2025 11:29:00,-1.6000000000000227,0.0,no
1765432745,499.9,499.9,499.9,499.9,20,21580,2025-12-11T11:29:05+05:30,12-11-2025 11:29:05,4.5,0.0,no
1765432750,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:10+05:30,12-11-2025 11:29:10,0.0,0.0,no
1765432755,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:15+05:30,12-11-2025 11:29:15,0.0,0.0,no
1765432760,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:20+05:30,12-11-2025 11:29:20,0.0,0.0,no
1765432765,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:25+05:30,12-11-2025 11:29:25,0.0,0.0,no
1765432770,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:30+05:30,12-11-2025 11:29:30,0.0,0.0,no
1765432775,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:35+05:30,12-11-2025 11:29:35,0.0,0.0,no
1765432780,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:40+05:30,12-11-2025 11:29:40,0.0,0.0,no
1765432785,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:45+05:30,12-11-2025 11:29:45,0.0,0.0,no
1765432790,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:50+05:30,12-11-2025 11:29:50,0.0,0.0,no
1765432795,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:29:55+05:30,12-11-2025 11:29:55,0.0,0.0,no
1765432800,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:30:00+05:30,12-11-2025 11:30:00,0.0,0.0,no
1765432805,499.9,499.9,499.9,499.9,0,21580,2025-12-11T11:30:05+05:30,12-11-2025 11:30:05,0.0,0.0,no
1765432810,495.4,495.4,495.4,495.4,20,21600,2025-12-11T11:30:10+05:30,12-11-2025 11:30:10,-4.5,0.0,no
1765432815,495.4,495.4,495.4,495.4,0,21600,2025-12-11T11:30:15+05:30,12-11-2025 11:30:15,0.0,0.0,no
1765432820,491.05,491.05,491.05,491.05,100,21600,2025-12-11T11:30:20+05:30,12-11-2025 11:30:20,-4.349999999999966,0.0,no
